Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Portland Trail Blazers,106,Los Angeles Lakers,112,Home,1983,Los Angeles Lakers
Denver Nuggets,133,San Antonio Spurs,152,Home,1983,San Antonio Spurs
Milwaukee Bucks,116,Boston Celtics,95,Away,1983,Milwaukee Bucks
New York Knicks,91,Philadelphia 76ers,98,Home,1983,Philadelphia 76ers
Denver Nuggets,109,San Antonio Spurs,126,Home,1983,San Antonio Spurs
Milwaukee Bucks,95,Boston Celtics,91,Away,1983,Milwaukee Bucks
San Antonio Spurs,127,Denver Nuggets,126,Away,1983,San Antonio Spurs
Los Angeles Lakers,115,Portland Trail Blazers,109,Away,1983,Los Angeles Lakers
Philadelphia 76ers,107,New York Knicks,105,Away,1983,Philadelphia 76ers
Boston Celtics,99,Milwaukee Bucks,107,Home,1983,Milwaukee Bucks
Los Angeles Lakers,95,Portland Trail Blazers,108,Home,1983,Portland Trail Blazers
Philadelphia 76ers,105,New York Knicks,102,Away,1983,Philadelphia 76ers
San Antonio Spurs,114,Denver Nuggets,124,Home,1983,Denver Nuggets
Boston Celtics,93,Milwaukee Bucks,107,Home,1983,Milwaukee Bucks
Portland Trail Blazers,108,Los Angeles Lakers,116,Home,1983,Los Angeles Lakers
Denver Nuggets,105,San Antonio Spurs,145,Home,1983,San Antonio Spurs
San Antonio Spurs,107,Los Angeles Lakers,119,Home,1983,Los Angeles Lakers
Milwaukee Bucks,109,Philadelphia 76ers,111,Home,1983,Philadelphia 76ers
San Antonio Spurs,122,Los Angeles Lakers,113,Away,1983,San Antonio Spurs
Milwaukee Bucks,81,Philadelphia 76ers,87,Home,1983,Philadelphia 76ers
Los Angeles Lakers,113,San Antonio Spurs,100,Away,1983,Los Angeles Lakers
Philadelphia 76ers,104,Milwaukee Bucks,96,Away,1983,Philadelphia 76ers
Philadelphia 76ers,94,Milwaukee Bucks,100,Home,1983,Milwaukee Bucks
Los Angeles Lakers,129,San Antonio Spurs,121,Away,1983,Los Angeles Lakers
San Antonio Spurs,117,Los Angeles Lakers,112,Away,1983,San Antonio Spurs
Milwaukee Bucks,103,Philadelphia 76ers,115,Home,1983,Philadelphia 76ers
Los Angeles Lakers,101,San Antonio Spurs,100,Away,1983,Los Angeles Lakers
Los Angeles Lakers,107,Philadelphia 76ers,113,Home,1983,Philadelphia 76ers
Los Angeles Lakers,93,Philadelphia 76ers,103,Home,1983,Philadelphia 76ers
Philadelphia 76ers,111,Los Angeles Lakers,94,Away,1983,Philadelphia 76ers
Philadelphia 76ers,115,Los Angeles Lakers,108,Away,1983,Philadelphia 76ers
Seattle SuperSonics,86,Dallas Mavericks,88,Home,1984,Dallas Mavericks
Washington Bullets,83,Boston Celtics,91,Home,1984,Boston Celtics
Denver Nuggets,121,Utah Jazz,123,Home,1984,Utah Jazz
New York Knicks,94,Detroit Pistons,93,Away,1984,New York Knicks
Atlanta Hawks,89,Milwaukee Bucks,105,Home,1984,Milwaukee Bucks
New Jersey Nets,116,Philadelphia 76ers,101,Away,1984,New Jersey Nets
Phoenix Suns,113,Portland Trail Blazers,106,Away,1984,Phoenix Suns
Kansas City Kings,105,Los Angeles Lakers,116,Home,1984,Los Angeles Lakers
Washington Bullets,85,Boston Celtics,88,Home,1984,Boston Celtics
Seattle SuperSonics,95,Dallas Mavericks,92,Away,1984,Seattle SuperSonics
New York Knicks,105,Detroit Pistons,113,Home,1984,Detroit Pistons
Atlanta Hawks,87,Milwaukee Bucks,101,Home,1984,Milwaukee Bucks
Denver Nuggets,132,Utah Jazz,116,Away,1984,Denver Nuggets
Kansas City Kings,102,Los Angeles Lakers,109,Home,1984,Los Angeles Lakers
Phoenix Suns,116,Portland Trail Blazers,122,Home,1984,Portland Trail Blazers
New Jersey Nets,116,Philadelphia 76ers,102,Away,1984,New Jersey Nets
Milwaukee Bucks,94,Atlanta Hawks,103,Home,1984,Atlanta Hawks
Dallas Mavericks,94,Seattle SuperSonics,104,Home,1984,Seattle SuperSonics
Boston Celtics,108,Washington Bullets,111,Home,1984,Washington Bullets
Portland Trail Blazers,103,Phoenix Suns,106,Home,1984,Phoenix Suns
Detroit Pistons,113,New York Knicks,120,Home,1984,New York Knicks
Philadelphia 76ers,108,New Jersey Nets,100,Away,1984,Philadelphia 76ers
Utah Jazz,117,Denver Nuggets,121,Home,1984,Denver Nuggets
Los Angeles Lakers,108,Kansas City Kings,102,Away,1984,Los Angeles Lakers
Milwaukee Bucks,97,Atlanta Hawks,100,Home,1984,Atlanta Hawks
Utah Jazz,129,Denver Nuggets,124,Away,1984,Utah Jazz
Philadelphia 76ers,110,New Jersey Nets,102,Away,1984,Philadelphia 76ers
Portland Trail Blazers,113,Phoenix Suns,110,Away,1984,Portland Trail Blazers
Dallas Mavericks,107,Seattle SuperSonics,96,Away,1984,Dallas Mavericks
Boston Celtics,99,Washington Bullets,96,Away,1984,Boston Celtics
Detroit Pistons,119,New York Knicks,112,Away,1984,Detroit Pistons
Seattle SuperSonics,104,Dallas Mavericks,105,Home,1984,Dallas Mavericks
Denver Nuggets,111,Utah Jazz,127,Home,1984,Utah Jazz
Phoenix Suns,117,Portland Trail Blazers,105,Away,1984,Phoenix Suns
New Jersey Nets,101,Philadelphia 76ers,98,Away,1984,New Jersey Nets
